name,geometry/lat,geometry/lng,place_id,types/0,types/1,types/2,types/3,types/4,user_ratings_total,vicinity,accident_loc,types_str,types/5,types/6
Dryholic Laundry,24.4197167,54.4422795,ChIJOcz6Kg1DXj4RkA513b2nQTs,laundry,point_of_interest,establishment,,,3,Al Muntada Street - Abu Dhabi,شارع 33,laundry_point_of_interest_establishment,,
Load out laundry,24.4177386,54.4421385,ChIJY6e0EhVDXj4REWEcsGyp6c0,laundry,point_of_interest,establishment,,,19,36 Al Zumurrud Street - Abu Dhabi,شارع 33,laundry_point_of_interest_establishment,,
مكتب علي المنصوري للمحاماة والاستشارات القانونية ابوظبي,24.4179581,54.4398915,ChIJuabI0vFDXj4RnVCCi8oOgPA,lawyer,point_of_interest,establishment,,,9,الطابق 3 مكتب 301 بناية فندق بيرل روتانا Pearl Rotana hotel,شارع 33,lawyer_point_of_interest_establishment,,
مكتبة الإمارات UAE library,24.4200903,54.4475858,ChIJ6zZQAW1CXj4R7Sqv3L_UPCQ,library,point_of_interest,establishment,,,5,Abu Dhabi,شارع 33,library_point_of_interest_establishment,,
High Spirits Head Office,24.4214851,54.4460531,ChIJY91O7G1CXj4RPesRHqjbrxw,liquor_store,point_of_interest,store,establishment,,501,Abu Dhabi National Hotel Yida street 18-50,شارع 33,liquor_store_point_of_interest_store_establishment,,
مركز إدارة الطوارئ والأزمات والكوارث لإمارة أبوظبي,24.4193392,54.446495,ChIJP6FE7xhDXj4R59-FPjnkuGs,local_government_office,point_of_interest,establishment,,,3,6 Mabdou Street - Abu Dhabi,شارع 33,local_government_office_point_of_interest_establishment,,
Centro Capital Centre,24.4176064,54.4408235,ChIJCfMLfXNCXj4Rf-uWUe_WCx0,lodging,point_of_interest,establishment,,,2052,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,lodging_point_of_interest_establishment,,
Premier Inn Abu Dhabi Capital Centre Hotel,24.420237,54.4406546,ChIJ1TU95HNCXj4RS_26qFKK3zc,lodging,point_of_interest,establishment,,,1986,"National Exhibition Centre - Al Muntada St, Capital Centre Abu Dhabi - Opposite",شارع 33,lodging_point_of_interest_establishment,,
Abu Dhabi National Hotels,24.4216993,54.4463197,ChIJoWZ1sgpmXj4RRjq3Ll3oQuI,lodging,point_of_interest,establishment,,,453,"Ariport Road , Near Carrefour, Behind Emirates Motor Company",شارع 33,lodging_point_of_interest_establishment,,
Capital Centre Arjaan by Rotana,24.4184077,54.4405039,ChIJEQzLnXNCXj4RsgvfgTL9vW0,lodging,point_of_interest,establishment,,,935,شارع الخَلِيج - Abu Dhabi,شارع 33,lodging_point_of_interest_establishment,,
